Abortion is a woman's unrestricted right,1
Legally require hiring women & minorities,1
Comfortable with same-sex marriage,2
Keep God in the public sphere,1
Expand ObamaCare,-2
Privatize Social Security,1
Vouchers for school choice,2
EPA regulations are too restrictive,1
Stricter punishment reduces crime,-1
Absolute right to gun ownership,2
Higher taxes on the wealthy,-2
Pathway to citizenship for illegal aliens,2
Support & expand free trade,2
Support American Exceptionalism,1
Expand the military,-2
Make voter registration easier,-1
Avoid foreign entanglements,2
Prioritize green energy,-1
Marijuana is a gateway drug,-2
Stimulus better than market-led recovery,-2
